num_estimator,frac,voting,train_acc,val_acc,model,bootstrap
3,0.15,hard,0.6858104620628336,0.7027593724368948,"Layer: [in:13] [out:1] [activation:Linear]
",False
3,0.15,hard,0.17397552756202328,-0.07374833003148451,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
3,0.15,hard,0.7232569034220595,0.7104560732645798,<__main__.DecisionTree object at 0x7f950cae8520>,False
3,0.15,soft,0.6761464474776413,0.7238039281074121,"Layer: [in:13] [out:1] [activation:Linear]
",True
3,0.15,soft,-0.247862554455631,-1.1043567990153589,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
3,0.15,soft,0.8172303696893017,0.7362276615308756,<__main__.DecisionTree object at 0x7f950cae8520>,True
3,0.15,soft,0.7077235448388701,0.7405668867566829,"Layer: [in:13] [out:1] [activation:Linear]
",False
3,0.15,soft,-0.2604624039347223,-0.8004483081452953,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
3,0.15,soft,0.7440993061801573,-0.10201321493908933,<__main__.DecisionTree object at 0x7f950cae8520>,False
3,0.25,hard,0.7023329872727407,0.6484965497946812,"Layer: [in:13] [out:1] [activation:Linear]
",True
3,0.25,hard,0.46366204328005156,0.258342815135716,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
3,0.25,hard,0.8315312202585238,0.7547308531404473,<__main__.DecisionTree object at 0x7f950cae8520>,True
3,0.25,hard,0.719398124795178,0.6845804833940761,"Layer: [in:13] [out:1] [activation:Linear]
",False
3,0.25,hard,0.3739891280227249,0.2023661477201273,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
3,0.25,hard,0.819452293150331,0.7131693109255219,<__main__.DecisionTree object at 0x7f950cae8520>,False
3,0.25,soft,0.7178121979306198,0.6859241373802761,"Layer: [in:13] [out:1] [activation:Linear]
",True
3,0.25,soft,0.37792154724238025,-0.15996101199935686,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
3,0.25,soft,0.8452175425892063,0.5775727692713786,<__main__.DecisionTree object at 0x7f950cae8520>,True
3,0.25,soft,0.6746630715248887,0.6562860656455932,"Layer: [in:13] [out:1] [activation:Linear]
",False
3,0.25,soft,0.38081754570791737,-0.185422005615399,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
3,0.25,soft,0.8194034627194715,0.6808671064612986,<__main__.DecisionTree object at 0x7f950cae8520>,False
3,0.5,hard,0.7142512792611915,0.7099326954725055,"Layer: [in:13] [out:1] [activation:Linear]
",True
3,0.5,hard,0.6461547272854595,0.6030887540337038,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
3,0.5,hard,0.8596168052671833,0.7809278509567212,<__main__.DecisionTree object at 0x7f950cae8520>,True
3,0.5,hard,0.7080180076847086,0.6513793466224723,"Layer: [in:13] [out:1] [activation:Linear]
",False
