num_estimator,frac,voting,train_acc,val_acc
25,0.15,hard,0.7592997811816192,0.759825327510917
10,0.25,soft,0.7560175054704595,0.7554585152838428
4,0.15,soft,0.7450765864332604,0.7510917030567685
13,0.15,hard,0.75054704595186,0.7510917030567685
10,0.15,hard,0.7592997811816192,0.7467248908296943
22,0.15,soft,0.7571115973741794,0.7467248908296943
19,0.15,soft,0.7669584245076586,0.74235807860262
16,0.15,hard,0.7549234135667396,0.7379912663755459
28,0.25,hard,0.7582056892778993,0.7379912663755459
16,0.25,hard,0.7571115973741794,0.7379912663755459
7,0.15,hard,0.7560175054704595,0.7336244541484717
16,0.15,soft,0.7396061269146609,0.7336244541484717
28,0.15,hard,0.7592997811816192,0.7336244541484717
13,0.15,hard,0.75054704595186,0.7336244541484717
25,0.25,soft,0.7363238512035011,0.7336244541484717
28,0.75,hard,0.7527352297592997,0.7292576419213974
22,0.15,hard,0.762582056892779,0.7292576419213974
7,0.75,hard,0.7516411378555798,0.7292576419213974
19,0.5,soft,0.7647702407002188,0.7292576419213974
25,0.25,soft,0.75054704595186,0.7292576419213974
16,0.5,hard,0.74945295404814,0.7292576419213974
13,0.15,soft,0.7396061269146609,0.7292576419213974
16,0.5,soft,0.7483588621444202,0.7292576419213974
28,0.25,soft,0.7592997811816192,0.7292576419213974
13,0.25,soft,0.7571115973741794,0.7292576419213974
28,0.15,soft,0.7483588621444202,0.7248908296943232
13,0.5,soft,0.7560175054704595,0.7248908296943232
7,0.5,hard,0.7527352297592997,0.7248908296943232
25,0.15,hard,0.7549234135667396,0.7248908296943232
22,0.25,hard,0.7582056892778993,0.7248908296943232
19,0.25,soft,0.7571115973741794,0.7248908296943232
28,0.5,soft,0.75054704595186,0.7248908296943232
25,0.75,hard,0.7636761487964989,0.7248908296943232
19,0.5,hard,0.7352297592997812,0.7205240174672489
10,0.15,soft,0.7549234135667396,0.7205240174672489
7,0.25,soft,0.7210065645514223,0.7205240174672489
16,0.5,hard,0.75054704595186,0.7205240174672489
19,0.75,soft,0.7242888402625821,0.7205240174672489
13,0.5,hard,0.7199124726477024,0.7205240174672489
19,0.15,hard,0.7363238512035011,0.7205240174672489
7,0.5,soft,0.7363238512035011,0.7205240174672489
10,0.5,soft,0.7407002188183808,0.7205240174672489
7,0.25,soft,0.7308533916849015,0.7205240174672489
10,0.75,hard,0.7363238512035011,0.7205240174672489
28,1.0,soft,0.7396061269146609,0.7205240174672489
16,0.15,soft,0.7603938730853391,0.7205240174672489
22,0.5,soft,0.7385120350109409,0.7205240174672489
25,0.25,hard,0.737417943107221,0.7205240174672489
25,0.15,soft,0.7669584245076586,0.7205240174672489
28,0.15,hard,0.7549234135667396,0.7205240174672489
28,0.75,soft,0.7571115973741794,0.7205240174672489
4,0.15,hard,0.7330415754923414,0.7205240174672489
22,0.5,hard,0.7560175054704595,0.7205240174672489
28,1.0,soft,0.7582056892778993,0.7205240174672489
22,0.25,soft,0.7352297592997812,0.7205240174672489
16,0.25,soft,0.7363238512035011,0.7161572052401747
7,0.25,hard,0.7461706783369803,0.7161572052401747
19,0.15,hard,0.7680525164113785,0.7161572052401747
10,1.0,hard,0.7407002188183808,0.7161572052401747
10,1.0,soft,0.7516411378555798,0.7161572052401747
13,0.15,soft,0.7538293216630197,0.7161572052401747
28,1.0,hard,0.7483588621444202,0.7161572052401747
13,0.25,hard,0.74945295404814,0.7161572052401747
13,0.25,hard,0.7472647702407003,0.7161572052401747
10,0.5,hard,0.7669584245076586,0.7161572052401747
16,0.5,soft,0.7417943107221007,0.7161572052401747
28,0.5,hard,0.75054704595186,0.7161572052401747
28,0.5,soft,0.7549234135667396,0.7161572052401747
16,1.0,hard,0.74945295404814,0.7161572052401747
7,0.25,hard,0.7472647702407003,0.7161572052401747
19,0.75,hard,0.7549234135667396,0.7161572052401747
4,0.75,hard,0.7527352297592997,0.7161572052401747
22,0.25,hard,0.7341356673960613,0.7161572052401747
22,0.75,soft,0.7549234135667396,0.7161572052401747
22,1.0,hard,0.7330415754923414,0.7161572052401747
10,0.15,hard,0.7144420131291028,0.7161572052401747
4,0.15,hard,0.7308533916849015,0.7161572052401747
4,0.25,hard,0.74945295404814,0.7161572052401747
25,0.25,hard,0.7713347921225383,0.7161572052401747
19,0.25,hard,0.7439824945295405,0.7161572052401747
16,1.0,soft,0.7592997811816192,0.7117903930131004
28,0.25,hard,0.7319474835886215,0.7117903930131004
16,0.25,hard,0.7538293216630197,0.7117903930131004
22,0.5,soft,0.7516411378555798,0.7117903930131004
22,0.15,soft,0.7592997811816192,0.7117903930131004
28,0.75,soft,0.7439824945295405,0.7117903930131004
22,0.15,hard,0.7669584245076586,0.7117903930131004
19,1.0,soft,0.7363238512035011,0.7117903930131004
19,1.0,hard,0.7385120350109409,0.7117903930131004
16,1.0,hard,0.762582056892779,0.7117903930131004
28,0.15,soft,0.7592997811816192,0.7117903930131004
25,0.75,hard,0.7363238512035011,0.7117903930131004
19,0.75,soft,0.7385120350109409,0.7117903930131004
19,0.25,hard,0.7603938730853391,0.7117903930131004
16,1.0,soft,0.7549234135667396,0.7117903930131004
25,1.0,hard,0.74945295404814,0.7117903930131004
25,0.75,soft,0.7549234135667396,0.7117903930131004
25,0.15,soft,0.762582056892779,0.7117903930131004
25,0.5,hard,0.7549234135667396,0.7117903930131004
16,0.15,hard,0.7396061269146609,0.7117903930131004
10,0.75,hard,0.7407002188183808,0.7117903930131004
10,0.25,soft,0.7538293216630197,0.7117903930131004
13,1.0,hard,0.7614879649890591,0.7117903930131004
10,0.75,soft,0.7199124726477024,0.7117903930131004
7,0.15,soft,0.7461706783369803,0.7117903930131004
4,0.75,hard,0.7242888402625821,0.7117903930131004
13,0.75,soft,0.7516411378555798,0.7117903930131004
10,1.0,hard,0.762582056892779,0.7117903930131004
13,0.75,hard,0.7483588621444202,0.7117903930131004
7,1.0,soft,0.7067833698030634,0.7117903930131004
25,0.5,soft,0.7560175054704595,0.7074235807860262
19,0.25,soft,0.762582056892779,0.7074235807860262
10,0.25,hard,0.74945295404814,0.7074235807860262
19,0.5,soft,0.7571115973741794,0.7074235807860262
1,0.15,hard,0.7221006564551422,0.7074235807860262
25,0.5,hard,0.7352297592997812,0.7074235807860262
10,0.5,soft,0.737417943107221,0.7074235807860262
19,1.0,soft,0.7352297592997812,0.7074235807860262
7,0.75,soft,0.7549234135667396,0.7074235807860262
22,1.0,soft,0.7549234135667396,0.7074235807860262
22,0.75,hard,0.7538293216630197,0.7074235807860262
4,0.5,hard,0.7330415754923414,0.7074235807860262
10,0.25,hard,0.7166301969365426,0.7074235807860262
19,0.15,soft,0.7636761487964989,0.7074235807860262
16,0.75,soft,0.7560175054704595,0.7074235807860262
28,0.75,hard,0.7352297592997812,0.7074235807860262
16,0.75,hard,0.762582056892779,0.7074235807860262
25,1.0,soft,0.7691466083150985,0.7074235807860262
22,0.75,hard,0.725382932166302,0.7074235807860262
25,0.75,soft,0.7275711159737418,0.7074235807860262
19,0.5,hard,0.7527352297592997,0.7030567685589519
4,0.15,soft,0.7221006564551422,0.7030567685589519
1,0.25,hard,0.7100656455142232,0.7030567685589519
13,1.0,soft,0.7330415754923414,0.7030567685589519
22,0.5,hard,0.7571115973741794,0.7030567685589519
1,0.25,hard,0.7100656455142232,0.7030567685589519
22,0.25,soft,0.7363238512035011,0.7030567685589519
1,0.25,soft,0.7067833698030634,0.7030567685589519
16,0.25,soft,0.7592997811816192,0.7030567685589519
7,0.5,soft,0.7385120350109409,0.7030567685589519
7,0.75,soft,0.7461706783369803,0.7030567685589519
10,0.75,soft,0.7221006564551422,0.7030567685589519
28,0.5,hard,0.7166301969365426,0.7030567685589519
10,0.5,hard,0.7439824945295405,0.7030567685589519
25,0.5,soft,0.7407002188183808,0.7030567685589519
25,1.0,soft,0.7549234135667396,0.7030567685589519
1,1.0,soft,0.7100656455142232,0.7030567685589519
4,0.5,soft,0.7363238512035011,0.6986899563318777
28,0.25,soft,0.75054704595186,0.6986899563318777
4,0.25,soft,0.7385120350109409,0.6986899563318777
22,0.75,soft,0.7647702407002188,0.6986899563318777
22,1.0,soft,0.7669584245076586,0.6986899563318777
4,0.75,soft,0.7133479212253829,0.6986899563318777
4,0.5,soft,0.7450765864332604,0.6986899563318777
4,1.0,soft,0.7341356673960613,0.6986899563318777
19,0.75,hard,0.7647702407002188,0.6986899563318777
13,0.75,hard,0.7407002188183808,0.6986899563318777
13,0.5,soft,0.7516411378555798,0.6986899563318777
7,0.5,hard,0.725382932166302,0.6986899563318777
16,0.75,hard,0.7592997811816192,0.6986899563318777
16,0.75,soft,0.7330415754923414,0.6986899563318777
7,1.0,hard,0.7396061269146609,0.6986899563318777
13,0.25,soft,0.7592997811816192,0.6986899563318777
10,1.0,soft,0.7582056892778993,0.6986899563318777
4,1.0,hard,0.7231947483588621,0.6943231441048034
13,1.0,hard,0.712253829321663,0.6943231441048034
13,0.75,soft,0.7560175054704595,0.6943231441048034
1,0.5,hard,0.7210065645514223,0.6943231441048034
22,1.0,hard,0.7592997811816192,0.6943231441048034
7,1.0,soft,0.7210065645514223,0.6943231441048034
25,1.0,hard,0.75054704595186,0.6943231441048034
7,0.15,hard,0.7636761487964989,0.6943231441048034
7,1.0,hard,0.7538293216630197,0.6899563318777293
4,0.5,hard,0.7439824945295405,0.6899563318777293
1,0.75,soft,0.7188183807439825,0.6899563318777293
13,0.5,hard,0.7527352297592997,0.6899563318777293
4,0.75,soft,0.7024070021881839,0.6855895196506551
10,0.15,soft,0.7702407002188184,0.6812227074235808
1,1.0,soft,0.6947483588621444,0.6812227074235808
13,1.0,soft,0.7275711159737418,0.6812227074235808
1,1.0,hard,0.6947483588621444,0.6812227074235808
4,1.0,soft,0.6947483588621444,0.6812227074235808
1,0.75,hard,0.6958424507658644,0.6812227074235808
1,0.15,soft,0.6980306345733042,0.6768558951965066
7,0.15,soft,0.7560175054704595,0.6768558951965066
1,0.15,hard,0.6794310722100656,0.6768558951965066
1,1.0,hard,0.6980306345733042,0.6768558951965066
19,1.0,hard,0.7592997811816192,0.6768558951965066
1,0.5,hard,0.6739606126914661,0.6724890829694323
