num_estimator,frac,voting,train_acc,val_acc
4,0.25,hard,0.7237111562728007,0.7289252093604499
7,0.25,hard,0.7445137015121893,0.724266168974435
13,0.15,hard,0.7681532012505828,0.7142367521115877
19,0.15,soft,0.7911699931461194,0.6984147725169226
10,0.25,hard,0.7557049996619936,0.6979889188993085
13,0.15,hard,0.7567286969856284,0.6943302994692976
19,0.15,hard,0.7503969665629113,0.6938105767705289
28,0.15,hard,0.7866262384111375,0.6937374218402215
7,0.75,soft,0.7663338464137148,0.6903914604247132
28,0.15,soft,0.7759473017153939,0.6902749547812621
19,0.15,soft,0.796085654290645,0.6899472443272966
16,0.15,hard,0.7539698033409948,0.683351856331488
4,0.15,hard,0.7366268805061499,0.6819343705815583
10,0.15,soft,0.7619666600948517,0.6787725917628378
10,0.15,hard,0.784169381271075,0.6771639341839673
19,0.5,hard,0.7746695824263197,0.6746040108082425
25,0.15,soft,0.7871311672378298,0.6723747392375039
22,0.15,hard,0.7891178424102236,0.6667423498192449
7,0.25,hard,0.7408017766126493,0.6639913834740557
10,0.5,soft,0.7640264640933432,0.6639593525754899
16,0.15,hard,0.7611382926559304,0.6637955282475867
7,0.5,hard,0.7511211296803113,0.6621233476503531
22,0.15,soft,0.7775584410492828,0.6607976846245673
22,0.25,soft,0.7761580949851278,0.6556381826668114
25,0.25,hard,0.7818422679966333,0.6544718341676032
13,0.15,soft,0.7527168107606336,0.6543959008469107
22,0.25,soft,0.7690592630031564,0.6536552537530407
28,0.25,hard,0.7777517955122362,0.6517952346390259
22,0.15,soft,0.7618526045321843,0.6512415832331836
28,0.15,soft,0.7762754961549154,0.6492754986293237
28,0.5,soft,0.7757523483210663,0.6484229173215591
22,0.5,hard,0.769032760519051,0.64658260393188
25,0.5,hard,0.7724863889155289,0.6436077373400927
25,0.25,soft,0.7771870312568038,0.6432747281721618
25,0.15,soft,0.7665539724025197,0.6412643172106889
16,0.25,hard,0.7764954380273866,0.6374028822510096
7,0.15,soft,0.756620491766261,0.637369927961222
16,0.15,soft,0.7799664850320108,0.6361800223076448
25,0.25,hard,0.772621747725367,0.6354954737997728
19,0.25,hard,0.774898438250478,0.6354488375264271
22,0.25,hard,0.7540067965202898,0.6353768578121652
16,0.25,soft,0.7642660851793531,0.6353270685311119
10,0.75,hard,0.7729696506750428,0.6350327229080245
28,0.15,hard,0.7603415460453029,0.6324148702297112
1,0.5,soft,0.6481767285454563,0.6323403829431653
28,0.5,soft,0.7690646290985035,0.6309618073121164
22,0.15,hard,0.770924149072216,0.6306500708029632
13,0.25,hard,0.7546041320808057,0.6296237411025973
13,0.25,soft,0.7522402901636819,0.6295374149184578
13,0.5,soft,0.7657874170441382,0.6293369666325472
19,0.25,soft,0.779341880018193,0.6285475739682513
10,0.25,hard,0.755855144760685,0.6278566553729743
13,0.15,soft,0.7682985994762201,0.6277003990748454
4,0.25,soft,0.7423446044577622,0.6264352289517223
19,0.25,soft,0.7668672301532907,0.6263918919797327
13,0.25,hard,0.7657931118673198,0.6247778629172571
16,0.5,hard,0.7516411164498393,0.6217475917223697
13,0.75,hard,0.7562258023256939,0.6215942700174495
13,0.25,soft,0.7570961248922892,0.6202566127193625
16,0.5,soft,0.7629487630164195,0.6200412335963088
10,0.25,soft,0.769810925653587,0.6193469068509354
1,0.25,hard,0.6195549480602636,0.617662287163687
16,0.75,soft,0.7598617588452324,0.6155361109045876
16,0.15,soft,0.7741521063364072,0.6153213449851708
25,0.25,soft,0.7647813008885243,0.6143411872155511
25,0.5,soft,0.755467591804345,0.6130630980227327
16,1.0,hard,0.759856783010328,0.6087036332110657
28,0.25,soft,0.7555217804863298,0.6072256959233117
19,0.25,hard,0.786121375252574,0.6065314269495192
28,0.5,hard,0.7700691947974968,0.6063831587903591
28,0.75,hard,0.755663391674975,0.6061928846752224
25,0.5,hard,0.7633967993484128,0.6020781982474177
19,0.15,hard,0.7668964064409766,0.6009234250996905
25,0.5,soft,0.7562176279813193,0.6008648557855789
19,0.75,hard,0.7657037642056219,0.5998613698102504
28,0.25,soft,0.7709422382797879,0.5995863089166267
28,0.25,hard,0.7705238783687791,0.598293660090736
22,0.25,hard,0.757458561833109,0.5937867692899186
10,0.25,soft,0.7631965392033171,0.5912765117270465
7,1.0,hard,0.7574613022646584,0.5887776669561517
1,0.25,soft,0.5834066184815198,0.5873853856847655
19,0.5,hard,0.7591582310139718,0.586624580605426
19,0.5,soft,0.7589341491680744,0.5852761623421177
19,1.0,hard,0.7483274077509343,0.585272805445954
22,0.75,soft,0.7646826681789634,0.5842591003328237
16,0.75,hard,0.7570259032816764,0.582628312031271
19,0.5,soft,0.7518476159555485,0.5817946354333667
22,0.75,hard,0.7455577485634282,0.5817022820709128
7,0.75,hard,0.7550704562296434,0.5812813357172604
4,0.15,soft,0.7188698817373965,0.5812308572765214
7,0.5,soft,0.7631895525951706,0.5797040180499518
16,1.0,soft,0.7697989896337816,0.5790483925586463
10,1.0,hard,0.7503002085540224,0.5784854646580595
7,0.25,soft,0.7284596714012211,0.578146084066447
16,0.5,hard,0.7743420103453607,0.5780496823064775
4,0.5,soft,0.7378839268492559,0.5779936988983263
7,0.15,hard,0.7279429973161806,0.5772105781905578
19,1.0,soft,0.7363719676756189,0.5770843173356637
22,0.5,soft,0.7557422693050724,0.5753118729442517
16,0.25,soft,0.7669736492991666,0.5743656217412298
22,0.75,hard,0.7515629450196016,0.5743586344828046
4,0.25,hard,0.7118788698855782,0.5734308509390271
28,0.75,hard,0.7518019591715417,0.5728691358623204
25,0.75,hard,0.7514570529975192,0.5723899809286045
19,1.0,soft,0.7477146284871575,0.5719960406197191
1,0.5,hard,0.6771368132415814,0.571958455686649
4,0.75,hard,0.7741990349201967,0.5717881656754316
16,0.75,hard,0.7605177544562816,0.5707377630703696
4,1.0,soft,0.755377550315699,0.5705587675804424
16,1.0,soft,0.7355228692643587,0.5701609112788018
13,1.0,soft,0.7566090614904835,0.5696016580592576
10,1.0,hard,0.7630335036451056,0.56948088776501
28,1.0,hard,0.7409380784707361,0.5688978399831188
25,0.15,hard,0.7523895788805807,0.5680150423464942
4,0.5,hard,0.7626717352729084,0.5669514316338629
1,1.0,soft,0.6967598671458843,0.5669217011147683
22,0.5,soft,0.7493734013254141,0.5663937227762985
25,0.15,hard,0.7394047385100144,0.5649233358809975
13,0.75,hard,0.7536104075343206,0.5648317374785125
13,0.5,hard,0.7564113849200375,0.5639408354669699
4,0.75,hard,0.7265673597418036,0.5638167356857215
22,1.0,hard,0.7496433091276964,0.5636831313975752
28,1.0,soft,0.749816794130767,0.5634347843096728
